Column Name,Data Type,Missing Values,Unique Values,Min,Max,Mean,Median,Standard Deviation,Top Category,Frequency of Top Category
Poster,object,0,9862,,,,,,https://m.media-amazon.com/images/S/sash/i-t32yvKixg10fG.png,139.0
Title,object,0,9634,,,,,,A Star Is Born,4.0
Year,float64,150,60,1929.0,2025.0,2005.761421319797,2012.0,18.95800527659945,,
Certificate,object,2630,30,,,,,,R,1704.0
Duration (min),float64,336,179,45.0,746.0,108.80960264900662,105.0,23.159748911962154,,
Genre,object,7,475,,,,,,Drama,504.0
Rating,float64,404,80,1.3,9.7,6.438609837432263,6.5,1.0514123633544676,,
Director,object,5,4549,,,,,,Clint Eastwood,35.0
Cast,object,39,9906,,,,,,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan",6.0
Votes,object,404,9129,,,,,,"1,602",4.0
Description,object,0,9945,,,,,,Add a Plot,17.0
